Attendance,Away,Date,Day,Home,Score,Time,Venue,Half_time,year,Distance,home_win,home_team_form
"37,363",Udinese,2022-03-19,Sat,Napoli,2-1,15:00,Stadio Diego Armando Maradona,(0-1),2022,589.1799954804650,1,0.5
"1,323",Atalanta,2022-03-20,Sun,Bologna,0-1,20:45,Stadio Renato Dall'Ara,(0-0),2022,186.36226809910800,0,0.5
"5,445",Hellas Verona,2022-03-20,Sun,Empoli,1-1,15:00,Stadio Carlo Castellani,(1-0),2022,189.89115251897200,0,0.5
"51,932",Lazio,2022-03-20,Sun,AS Roma,3-0,18:00,Stadio Olimpico,(3-0),2022,0,1,0.5
"29,186",Salernitana,2022-03-20,Sun,Juventus,2-0,15:00,Allianz Stadium,(2-0),2022,767.7629084024790,1,0.5
"7,591",Sampdoria,2022-03-20,Sun,Venezia,0-2,12:30,Stadio Pierluigi Penzo ,(0-2),2022,291.8249944553990,0,0.5
"15,000",Sassuolo,2022-04-02,Sat,Lazio,2-1,18:00,Stadio Olimpico,(1-0),2022,341.8246503722720,1,0.5
"8,650",Torino,2022-04-02,Sat,Salernitana,0-1,20:45,Stadio Arechi,(0-1),2022,762.6193764940160,0,0.5
"7,993",Venezia,2022-04-02,Sat,Spezia,1-0,15:00,Stadio Alberto Picco,(0-0),2022,250.22923654264500,1,0.5
"16,465",AS Roma,2022-04-03,Sun,Sampdoria,0-1,18:00,Stadio Comunale Luigi Ferraris,(0-1),2022,396.34249898601200,0,0.5
"12,215",Cagliari,2022-04-03,Sun,Udinese,5-1,15:00,Dacia Arena,(2-1),2022,833.6223808726530,1,0.5
"22,407",Empoli,2022-04-03,Sun,Fiorentina,1-0,12:30,Stadio Artemio Franchi,(0-0),2022,27.080703704289800,1,0.5
"40,093",Inter Milan,2022-04-03,Sun,Juventus,0-1,20:45,Allianz Stadium,(0-1),2022,123.13402248871500,0,0.5
"17,709",Napoli,2022-04-03,Sun,Atalanta,1-3,15:00,Stadio Atleti Azzurri d'Italia,(0-2),2022,654.1868488614660,0,0.5
"68,136",Bologna,2022-04-04,Mon,AC Milan,0-0,20:45,Stadio Giuseppe Meazza,(0-0),2022,204.45103811272000,0,0.5
"14,993",Genoa,2022-04-04,Mon,Hellas Verona,1-0,18:30,Stadio Marc'Antonio Bentegodi,(1-0),2022,195.31798355125100,1,0.5
"61,325",Hellas Verona,2022-04-09,Sat,Inter Milan,2-0,18:00,Stadio Giuseppe Meazza,(2-0),2022,144.56024644073000,1,0.5
"13,437",Juventus,2022-04-09,Sat,Cagliari,1-2,20:45,Unipol Domus,(1-1),2022,667.9608404524190,0,0.5
"5,265",Spezia,2022-04-09,Sat,Empoli,0-0,15:00,Stadio Carlo Castellani,(0-0),2022,101.07779888333500,0,0.5
"23,472",AC Milan,2022-04-10,Sun,Torino,0-0,20:45,Stadio Olimpico di Torino,(0-0),2022,125.26280395239400,0,0.5
